County,pop_2020
Adams,20450
Asotin,22640
Benton,205700
Chelan,79660
Clallam,76770
Clark,499200
Columbia,4185
Cowlitz,110500
Douglas,43750
Ferry,7910
Franklin,96760
Garfield,2225
Grant,100130
Grays Harbor,74720
Island,85530
Jefferson,32190
King,2260800
Kitsap,272200
Kittitas,48140
Klickitat,22770
Lewis,80250
Lincoln,11050
Mason,65650
Okanogan,43130
Pacific,21840
Pend Oreille,13850
Pierce,900700
San Juan,17340
Skagit,130450
Skamania,12220
Snohomish,830500
Spokane,522600
Stevens,45920
Thurston,291000
Wahkiakum,4210
Walla Walla,62580
Whatcom,228000
Whitman,50480
Yakima,258200
