Date,King,Pierce,Snohomish,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Garfield,Grant,Grays_Harbor,Island,Jefferson,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Pacific,Pend_Oreille,San_Juan,Skagit,Skamania,Spokane,Stevens,Thurston,Wahkiakum,Walla_Walla,Whatcom,Whitman,Yakima,Unassigned
5/2,459,50,109,0,2,44,5,0,19,0,0,1,0,11,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,13,0,22,1,1,0,0,28,0,47,0
5/3,463,50,111,0,2,44,5,0,19,0,0,1,0,11,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,13,0,22,1,1,0,0,28,0,48,0
5/4,469,52,112,0,2,46,5,0,20,0,0,2,0,13,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,13,0,23,1,1,0,0,29,0,52,0
5/5,474,52,112,0,2,46,5,0,20,0,0,2,0,14,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,13,0,24,1,1,0,0,30,0,52,0
5/6,480,54,114,0,2,47,5,0,20,0,0,2,0,14,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,13,0,26,1,1,0,0,33,0,57,0
5/7,487,55,115,0,2,48,5,0,20,0,0,2,0,16,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,13,0,27,1,1,0,0,33,0,58,0
5/8,491,57,117,0,2,51,5,0,20,0,0,2,0,16,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,14,0,28,1,1,0,2,33,0,59,0
5/9,500,57,117,0,2,51,5,0,20,0,0,2,0,16,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,14,0,28,1,1,0,2,34,0,59,0
5/10,506,58,118,0,2,52,6,0,20,0,0,2,0,16,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,14,0,29,1,1,0,2,34,0,62,0
5/11,513,59,121,0,2,53,6,0,21,0,0,2,0,16,0,3,0,9,0,2,0,3,3,0,1,1,1,0,0,14,0,29,1,1,0,2,34,0,65,0
5/12,518,60,121,0,2,53,6,0,22,0,0,3,0,16,0,3,0,9,0,2,0,3,3,0,1,1,1,0,0,14,0,29,1,1,0,2,35,0,68,1
