Date,King,Pierce,Snohomish,Yakima,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Garfield,Grant,Grays_Harbor,Island,Jefferson,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Pacific,Pend_Oreille,San_Juan,Skagit,Skamania,Spokane,Stevens,Thurston,Wahkiakum,Walla_Walla,Whatcom,Whitman,Unassigned,New,Roll_avg
4/27,6001,1293,2365,1046,46,17,415,96,17,313,1,39,75,1,265,0,155,12,168,28,148,15,16,29,2,23,21,4,2,14,308,3,350,9,100,2,57,293,14,79,156,225
4/28,6103,1306,2389,1082,47,17,422,98,18,317,1,41,77,1,276,0,155,12,168,28,148,14,16,29,2,23,21,4,2,14,322,3,353,9,104,2,62,294,14,76,228,235
4/29,6207,1322,2433,1128,47,18,430,108,18,321,1,45,78,1,279,0,159,12,168,28,149,14,17,29,2,23,22,4,2,14,329,3,357,9,105,2,67,302,14,60,257,227
4/30,6274,1339,2453,1203,47,18,461,113,18,327,1,47,79,1,309,0,163,12,169,28,150,15,17,29,2,25,21,4,2,14,337,3,367,9,106,2,76,305,14,77,310,228
5/1,6351,1376,2493,1272,48,18,494,114,18,328,1,53,82,1,348,0,169,12,169,28,150,15,17,29,2,25,21,4,2,14,345,3,366,9,111,2,87,312,14,100,366,229
5/2,6449,1393,2509,1296,48,18,518,118,19,328,1,53,82,1,363,0,170,12,169,28,150,15,18,29,2,26,21,4,2,14,354,3,369,9,111,2,88,316,14,63,182,243
5/3,6545,1414,2537,1372,48,18,532,120,18,336,1,59,84,1,377,0,180,12,169,28,150,14,18,29,2,26,21,4,2,14,357,3,372,9,113,2,92,317,14,52,277,241
5/4,6621,1433,2549,1389,48,18,537,125,19,337,1,60,84,1,379,0,180,12,168,28,150,14,17,29,2,26,21,4,2,14,364,3,373,9,113,2,93,318,14,37,132,237
5/5,6704,1454,2584,1449,49,18,548,137,19,341,1,62,95,1,387,0,179,12,172,28,151,15,18,29,2,26,21,4,2,14,379,3,379,9,116,2,96,324,14,61,311,244
5/6,6809,1496,2627,1547,49,18,550,139,19,342,1,62,98,1,401,0,179,13,173,28,154,15,19,30,2,28,21,4,2,14,389,3,380,9,115,2,97,328,14,53,326,248
5/7,6863,1510,2634,1579,49,18,559,140,19,347,1,64,102,1,404,0,180,13,172,28,154,15,19,30,2,28,21,8,2,14,391,3,381,9,115,3,97,329,15,69,157,244
5/8,6947,1539,2664,1686,49,18,575,143,19,346,1,65,107,1,408,0,181,14,173,29,155,17,19,30,2,28,22,9,2,15,397,3,381,9,117,3,99,330,15,56,286,240
5/9,7007,1562,2681,1781,49,18,577,148,19,351,1,66,112,1,412,0,181,13,174,29,155,18,19,30,2,28,25,9,2,15,401,3,382,9,121,3,99,333,15,40,217,241
5/10,7068,1582,2690,1864,49,18,586,149,19,352,1,66,114,1,420,0,183,13,174,29,156,40,20,30,2,28,25,9,2,15,402,3,384,9,121,4,103,338,15,38,231,245
5/11,7137,1593,2711,1916,50,18,588,150,19,362,1,66,114,1,422,0,183,13,174,29,156,40,21,32,2,29,30,9,2,15,406,3,385,9,122,4,106,340,15,57,208,249
5/12,7212,1604,2720,1946,50,18,595,153,19,377,1,66,116,1,422,0,185,13,176,29,156,40,22,33,2,30,29,9,2,15,411,3,387,9,122,4,105,341,16,73,182,246
5/13,7290,1626,2739,2002,50,18,605,163,19,380,1,68,120,1,427,0,185,13,176,29,157,39,22,32,2,30,31,9,2,15,416,3,393,9,123,4,105,343,16,110,261,246
5/14,7325,1636,2756,2052,50,18,615,170,21,382,1,68,124,1,433,0,185,14,176,29,157,47,22,32,2,30,35,9,2,15,423,3,393,9,122,4,105,344,16,125,178,237
5/15,7426,1654,2773,2217,50,18,627,172,21,386,1,68,125,1,441,0,185,15,176,30,159,51,22,34,2,30,37,9,2,15,425,3,396,9,123,4,106,347,16,112,337,235
5/16,7472,1680,2784,2253,50,18,633,176,21,388,1,68,126,1,444,0,186,15,176,30,160,52,24,34,2,31,40,9,2,15,425,3,400,9,124,4,107,353,16,101,145,232
5/17,7515.0,1687.0,2797.0,2370.0,50.0,18.0,643.0,178.0,21.0,388.0,1.0,68.0,129.0,1.0,456.0,0.0,187.0,15.0,176.0,30.0,160.0,57.0,24.0,35.0,2.0,33.0,40.0,9.0,2.0,15.0,426.0,3.0,403.0,9.0,124.0,4.0,107.0,358.0,16.0,54.0,178.0,225
5/18,7565,1704,2818,2444,50,18,652,182,21,391,1,69,130,1,464,0,186,15,176,30,161,61,25,35,2,33,40,9,2,15,426,3,411,10,124,4,106,359,16,52,200.0,230
