Date,King,Pierce,Snohomish,Yakima,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Garfield,Grant,Grays_Harbor,Island,Jefferson,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Pacific,Pend_Oreille,San_Juan,Skagit,Skamania,Spokane,Stevens,Thurston,Wahkiakum,Walla_Walla,Whatcom,Whitman,Unassigned
5/2,459,50,109,47,0,2,44,5,0,19,0,0,1,0,11,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,13,0,22,1,1,0,0,28,0,0
5/3,463,50,111,48,0,2,44,5,0,19,0,0,1,0,11,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,13,0,22,1,1,0,0,28,0,0
5/4,469,52,112,52,0,2,46,5,0,20,0,0,2,0,13,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,13,0,23,1,1,0,0,29,0,0
5/5,474,52,112,52,0,2,46,5,0,20,0,0,2,0,14,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,13,0,24,1,1,0,0,30,0,0
5/6,480,54,114,57,0,2,47,5,0,20,0,0,2,0,14,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,13,0,26,1,1,0,0,33,0,0
5/7,487,55,115,58,0,2,48,5,0,20,0,0,2,0,16,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,13,0,27,1,1,0,0,33,0,0
5/8,491,57,117,59,0,2,51,5,0,20,0,0,2,0,16,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,14,0,28,1,1,0,2,33,0,0
5/9,500,57,117,59,0,2,51,5,0,20,0,0,2,0,16,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,14,0,28,1,1,0,2,34,0,0
5/10,506,58,118,62,0,2,52,6,0,20,0,0,2,0,16,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,14,0,29,1,1,0,2,34,0,0
5/11,513,59,121,65,0,2,53,6,0,21,0,0,2,0,16,0,3,0,9,0,2,0,3,3,0,1,1,1,0,0,14,0,29,1,1,0,2,34,0,0
5/12,518,60,121,68,0,2,53,6,0,22,0,0,3,0,16,0,3,0,9,0,2,0,3,3,0,1,1,1,0,0,14,0,29,1,1,0,2,35,0,1
5/13,519,60,122,71,0,2,55,6,0,22,0,0,3,0,17,0,3,0,10,0,2,0,3,3,0,1,1,1,0,0,14,0,29,1,1,0,2,35,0,0
5/14,521,61,125,72,0,2,55,6,0,22,0,0,3,0,17,0,3,0,10,0,2,0,3,3,0,1,1,1,0,0,14,0,30,1,1,0,2,35,0,1
5/15,526,62,125,74,0,2,55,6,0,22,0,0,3,0,17,0,3,0,10,0,2,0,3,3,0,1,1,1,0,0,14,0,30,1,1,0,2,35,0,1
5/16,527,62,125,75,0,2,55,6,0,22,0,0,3,0,17,0,3,0,10,0,2,0,3,3,0,1,1,1,0,0,14,0,30,1,1,0,2,35,0,0
5/17,528,62,125,75,0,2,55,6,0,22,0,0,3,0,17,0,3,0,10,0,2,0,3,3,0,1,1,1,0,0,14,0,30,1,1,0,2,35,0,0
