Date,King,Pierce,Snohomish,Yakima,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Garfield,Grant,Grays_Harbor,Island,Jefferson,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Pacific,Pend_Oreille,San_Juan,Skagit,Skamania,Spokane,Stevens,Thurston,Wahkiakum,Walla_Walla,Whatcom,Whitman,Unassigned,New,Roll_avg
28-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29-Feb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1-Mar,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2-Mar,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
3-Mar,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
4-Mar,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
5-Mar,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
6-Mar,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
7-Mar,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
8-Mar,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
9-Mar,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
10-Mar,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
11-Mar,26,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
12-Mar,27,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
13-Mar,32,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
14-Mar,35,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
15-Mar,37,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
16-Mar,43,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
17-Mar,46,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3
18-Mar,56,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4
19-Mar,60,1,7,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5
20-Mar,67,1,8,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,15,6
21-Mar,74,1,10,0,0,0,2,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,6
22-Mar,75,1,10,0,0,0,2,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,6
23-Mar,87,1,11,0,0,0,2,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,15,6
24-Mar,94,1,16,1,0,0,2,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,13,7
25-Mar,100,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,7
26-Mar,109,4,16,2,0,0,4,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,15,8
27-Mar,125,5,23,2,0,0,5,1,0,6,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,28,10
28-Mar,144,6,21,2,0,0,3,1,0,5,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,4,0,1,20,11
29-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
30-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
31-Mar,165,7,38,6,0,0,3,2,0,6,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,4,0,3,0,0,0,0,8,0,0,52,14
1-Apr,175,7,38,6,0,0,4,2,0,7,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,4,0,5,0,0,0,0,8,0,1,15,14
2-Apr,188,7,38,6,0,0,9,2,0,8,0,0,0,0,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,4,0,7,0,0,0,0,8,0,1,22,15
3-Apr,200,8,45,6,0,0,12,2,0,8,0,0,0,0,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,4,0,9,0,1,0,0,8,0,1,26,16
4-Apr,208,10,47,12,0,0,13,2,0,8,0,0,0,0,2,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,4,0,10,0,1,0,0,15,0,0,28,17
5-Apr,220,12,55,12,0,0,17,2,0,8,0,0,0,0,2,0,2,0,6,0,0,0,1,0,0,0,0,0,0,0,4,0,11,0,1,0,0,19,0,0,34,20
6-Apr,226,15,59,16,0,0,18,2,0,10,0,0,0,0,2,0,2,0,6,0,0,0,1,1,0,0,0,0,0,0,4,0,12,0,1,0,0,19,0,0,22,20
7-Apr,242,15,62,18,0,0,18,2,0,10,0,0,0,0,2,0,2,0,7,0,1,1,1,2,0,0,0,0,0,0,5,0,12,0,1,0,0,20,0,0,27,21
8-Apr,257,16,62,19,0,0,21,2,0,14,0,0,0,0,2,0,2,0,7,0,1,0,1,2,0,0,0,0,0,0,5,0,13,0,1,0,0,21,0,0,25,22
9-Apr,275,15,65,19,0,0,24,5,0,14,0,0,0,0,2,0,2,0,7,0,1,0,1,3,0,0,0,0,0,0,5,0,13,0,1,0,0,22,1,0,29,23
10-Apr,282,17,68,21,0,0,26,5,0,14,0,0,0,0,2,0,2,0,7,0,1,0,1,2,0,0,0,0,0,0,6,0,13,0,1,0,0,23,0,0,16,23
11-Apr,292,20,70,21,0,0,28,5,0,14,0,0,0,0,2,0,2,0,7,0,1,0,1,2,0,0,0,0,0,0,6,0,13,0,1,0,0,23,0,0,17,22
12-Apr,295,20,70,23,0,0,29,5,0,14,0,0,0,0,2,0,2,0,7,0,1,0,1,2,0,0,0,0,0,0,6,0,13,1,1,0,0,23,0,1,8,23
13-Apr,303,23,77,25,0,0,29,5,0,14,0,0,0,0,2,0,2,0,8,0,1,0,2,2,0,0,0,0,0,0,6,0,15,1,1,0,0,25,0,0,25,25
14-Apr,312,28,81,29,0,0,30,5,0,14,0,0,1,0,4,0,2,0,8,0,1,0,2,2,0,0,0,0,0,0,6,0,15,1,1,0,0,25,0,0,26,23
15-Apr,320,30,85,29,0,0,32,5,0,14,0,0,1,0,4,0,2,0,8,0,1,0,2,2,0,0,0,0,0,0,6,0,15,1,1,0,0,25,0,0,16,23
16-Apr,330,30,89,34,0,0,32,5,0,14,0,0,1,0,4,0,2,0,8,0,1,0,3,2,0,0,0,0,0,0,6,0,15,1,1,0,0,25,0,0,20,23
17-Apr,339,32,93,35,0,0,34,5,0,15,0,0,1,0,4,0,2,0,8,0,1,0,3,2,0,0,0,0,0,0,7,0,15,1,1,0,0,26,0,0,21,22
18-Apr,346,32,94,36,0,0,34,5,0,15,0,0,1,0,4,0,2,0,8,0,1,0,3,2,0,0,0,0,0,0,8,0,15,1,1,0,0,26,0,0,10,21
19-Apr,358,32,96,37,0,0,34,5,0,15,0,0,1,0,4,0,2,0,8,0,1,0,3,2,0,0,0,0,0,0,8,0,17,1,1,0,0,27,0,0,18,20
20-Apr,373,35,99,38,0,1,35,5,0,15,0,0,1,0,4,0,2,0,9,0,2,0,3,3,0,0,0,0,0,0,9,0,18,1,1,0,0,27,0,1,30,21
21-Apr,379,37,100,39,0,1,35,5,0,15,0,0,1,0,4,0,2,0,9,0,2,0,3,3,0,0,0,0,0,0,9,0,19,1,1,0,0,27,0,0,10,19
22-Apr,385,44,101,41,0,1,36,5,0,15,0,0,1,0,5,0,2,0,9,0,2,0,3,3,0,0,0,0,0,0,10,0,19,1,1,0,0,27,0,0,19,19
23-Apr,393,43,102,43,0,1,36,5,0,16,0,0,1,0,5,0,2,0,9,0,2,0,3,3,0,0,0,0,0,0,10,0,19,1,1,0,0,27,0,1,12,18
24-Apr,400,46,102,44,0,1,37,5,0,18,0,0,1,0,5,0,2,0,9,0,2,0,3,3,0,0,1,0,0,0,10,0,19,1,1,0,0,27,0,1,15,18
25-Apr,408,46,104,44,0,1,37,5,0,18,0,0,1,0,5,0,2,0,9,0,2,0,3,3,0,1,1,0,0,0,11,0,19,1,1,0,0,27,0,0,11,17
26-Apr,416,47,106,45,0,1,38,5,0,18,0,0,1,0,5,0,2,0,9,0,2,0,3,3,0,1,1,0,0,0,11,0,20,1,1,0,0,28,0,1,16,18
27-Apr,429,48,108,45,0,2,39,5,0,18,0,0,1,0,7,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,12,0,20,1,1,0,0,28,0,0,21,18
28-Apr,438,49,108,47,0,2,40,5,0,19,0,0,1,0,8,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,12,0,20,1,1,0,0,28,0,0,15,17
29-Apr,447,49,108,47,0,2,41,5,0,19,0,0,1,0,9,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,13,0,21,1,1,0,0,28,0,0,13,17
30-Apr,452,50,109,47,0,2,41,5,0,19,0,0,1,0,11,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,13,0,22,1,1,0,0,28,0,0,10,16
1-May,457,50,109,47,0,2,43,5,0,19,0,0,1,0,10,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,13,0,22,1,1,0,0,28,0,0,6,15
2-May,459,50,109,47,0,2,44,5,0,19,0,0,1,0,11,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,13,0,22,1,1,0,0,28,0,0,4,14
3-May,463,50,111,48,0,2,44,5,0,19,0,0,1,0,11,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,13,0,22,1,1,0,0,28,0,0,7,14
4-May,469,52,112,52,0,2,46,5,0,20,0,0,2,0,13,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,13,0,23,1,1,0,0,29,0,0,21,13
5-May,474,52,112,52,0,2,46,5,0,20,0,0,2,0,14,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,13,0,24,1,1,0,0,30,0,0,8,13
6-May,480,54,114,57,0,2,47,5,0,20,0,0,2,0,14,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,13,0,26,1,1,0,0,33,0,0,21,13
7-May,487,55,115,58,0,2,48,5,0,20,0,0,2,0,16,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,13,0,27,1,1,0,0,33,0,0,14,13
8-May,491,57,117,59,0,2,51,5,0,20,0,0,2,0,16,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,14,0,28,1,1,0,2,33,0,0,16,13
9-May,500,57,117,59,0,2,51,5,0,20,0,0,2,0,16,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,14,0,28,1,1,0,2,34,0,0,10,13
10-May,506,58,118,62,0,2,52,6,0,20,0,0,2,0,16,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,14,0,29,1,1,0,2,34,0,0,14,13
11-May,513,59,121,65,0,2,53,6,0,21,0,0,2,0,16,0,3,0,9,0,2,0,3,3,0,1,1,1,0,0,14,0,29,1,1,0,2,34,0,0,17,13
12-May,518,60,121,68,0,2,53,6,0,22,0,0,3,0,16,0,3,0,9,0,2,0,3,3,0,1,1,1,0,0,14,0,29,1,1,0,2,35,0,1,13,12
13-May,519,60,122,71,0,2,55,6,0,22,0,0,3,0,17,0,3,0,10,0,2,0,3,3,0,1,1,1,0,0,14,0,29,1,1,0,2,35,0,0,8,12
14-May,521,61,125,72,0,2,55,6,0,22,0,0,3,0,17,0,3,0,10,0,2,0,3,3,0,1,1,1,0,0,14,0,30,1,1,0,2,35,0,1,9,12
15-May,526,62,125,74,0,2,55,6,0,22,0,0,3,0,17,0,3,0,10,0,2,0,3,3,0,1,1,1,0,0,14,0,30,1,1,0,2,35,0,1,8,12
16-May,527,62,125,75,0,2,55,6,0,22,0,0,3,0,17,0,3,0,10,0,2,0,3,3,0,1,1,1,0,0,14,0,30,1,1,0,2,35,0,0,1,12
17-May,528,62,125,75,0,2,55,6,0,22,0,0,3,0,17,0,3,0,10,0,2,0,3,3,0,1,1,1,0,0,14,0,30,1,1,0,2,35,0,0,1,12
18-May,534,64,132,81,0,2,58,6,0,22,0,0,3,0,18,0,4,0,10,0,2,0,3,3,0,1,1,1,0,0,15,0,31,1,1,0,2,36,0,0,29,12
19-May,535,68,132,82,0,2,58,6,0,22,0,0,3,0,18,0,4,0,10,0,2,0,3,3,0,1,1,1,0,0,15,0,31,1,1,0,2,36,0,0,6,12
20-May,539,69,133,83,0,2,58,6,0,22,0,0,3,0,18,0,4,0,10,0,2,0,3,3,0,1,1,1,0,0,15,0,31,1,1,0,2,36,0,0,7,11
21-May,542,69,135,83,0,2,59,6,0,22,0,0,3,0,18,0,4,0,10,0,2,0,3,3,0,1,1,1,0,0,15,0,31,1,1,0,2,36,0,0,6,10
22-May,545,70,135,83,0,2,59,6,0,22,0,0,3,0,19,0,4,0,10,0,2,0,3,3,0,1,1,1,0,0,15,0,31,1,1,0,2,36,0,0,5,10
23-May,547,70,135,87,0,2,59,6,0,22,0,0,3,0,19,0,4,0,10,0,2,0,3,3,0,1,1,1,0,0,15,0,31,1,1,0,2,36,0,0,6,9
24-May,550,71,136,91,0,2,59,6,0,22,0,0,3,0,19,0,4,0,10,0,2,0,3,3,0,1,1,1,0,0,15,0,31,1,1,0,2,36,0,0,9,9
25-May,552,71,142,91,0,2,59,6,0,22,0,0,3,0,19,0,4,0,10,0,2,0,3,3,0,1,1,1,0,0,15,0,31,1,1,0,2,36,0,0,8,8
26-May,559,75,145,91,0,2,60,6,0,22,0,0,3,0,20,0,4,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,31,1,1,0,2,36,0,0,17,9
27-May,562,78,147,93,0,2,61,6,0,22,0,0,3,0,20,0,4,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,31,1,1,0,2,36,0,0,11,9
28-May,564,78,147,94,0,2,62,6,0,22,0,0,3,0,20,0,4,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,32,1,1,0,2,36,0,0,5,9
29-May,567,79,148,95,0,2,62,6,0,22,0,0,3,0,20,0,4,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,32,1,2,0,2,36,0,0,7,8
30-May,567,79,148,95,0,2,62,6,0,22,0,0,3,0,20,0,4,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,32,1,2,0,2,36,0,0,0,8
31-May,569,79,149,95,0,2,62,6,0,22,0,0,3,0,20,0,4,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,33,1,2,0,2,37,0,1,6,9
1-Jun,570,81,149,96,0,2,63,6,0,22,0,0,3,0,20,0,4,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,34,1,2,0,2,37,0,0,5,7
2-Jun,573,82,150,97,0,2,63,6,0,22,0,0,3,0,20,0,4,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,34,1,2,0,2,37,0,0,6,7
3-Jun,574,83,150,97,0,2,63,6,0,23,0,0,3,0,20,0,4,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,34,1,2,0,2,37,0,0,3,7
4-Jun,576,84,152,99,0,2,64,6,0,24,0,0,3,0,21,0,4,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,35,1,2,0,2,37,0,0,11,7
5-Jun,576,85,152,100,0,2,66,6,0,24,0,0,3,0,21,0,4,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,35,1,2,0,2,37,0,0,4,7
6-Jun,578,85,152,100,0,2,66,6,0,26,0,0,3,0,21,0,4,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,35,1,2,0,2,37,0,2,6,7
7-Jun,579,85,153,101,0,2,66,6,0,26,0,0,3,0,21,0,4,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,35,1,3,0,2,37,0,0,2,7
8-Jun,580,87,155,104,0,2,67,6,0,27,0,0,3,0,22,0,4,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,37,1,4,0,2,38,0,0,15,7
9-Jun,582,87,156,108,0,2,71,6,0,27,0,0,3,0,25,0,4,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,37,1,4,0,2,38,0,0,14,7
10-Jun,583,87,156,112,0,2,70,6,0,27,0,0,3,0,25,0,4,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,37,1,4,0,2,38,0,0,4,6
11-Jun,586,88,156,114,0,2,72,6,0,27,0,0,3,0,25,0,5,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,37,1,4,0,3,38,0,0,10,7
12-Jun,591,88,156,117,0,2,73,6,0,27,0,0,3,0,25,0,5,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,37,1,4,0,3,38,0,0,9,7
