Date,DeathsTotal,DeathsNew,DeathsAvg,CasesTotal,CasesNew,CasesAvg
9/14,1990,7,6,81392,336,421
9/15,1999,9,6,81776,384,414
9/16,2007,8,6,82193,417,404
9/17,2013,6,6,82610,417,398
9/18,2021,8,6,83239,629,406
9/19,2026,5,6,83622,383,403
9/20,2034,8,6,83925,303,402
9/21,2040,6,6,84270,345,413
9/22,2051,11,7,84814,544,431
9/23,2057,6,7,85397,583,437
9/24,2063,6,7,86422,1025,467
9/25,2070,7,7,87062,640,478
9/26,2074,4,7,87519,457,484
9/27,2081,7,7,87897,378,489
9/28,2088,7,7,88291,394,493
9/29,2093,5,7,88823,532,503
9/30,2100,7,7,89463,640,519
10/1,2110,10,7,90179,716,541
10/2,2117,7,7,90821,642,542
10/3,2123,6,7,91290,469,548
10/4,2127,4,7,91709,419,556
10/5,2135,8,7,92136,427,562
10/6,2146,11,7,92692,556,563
10/7,2151,5,7,93450,758,575
10/8,2158,7,7,94143,693,552
10/9,2165,7,7,94691,548,545
10/10,2168,3,7,95539,848,573
10/11,2171,3,6,95914,375,573
10/12,2183,12,7,96521,607,588
10/13,2187,4,7,97240,719,601
10/14,2196,9,7,97938,698,605
10/15,2200,4,6,98713,775,610
10/16,2205,5,6,99539,826,623
10/17,2211,6,6,100105,566,630
10/18,2221,10,7,100572,467,633
10/19,2231,10,7,101064,492,638
10/20,2237,6,7,101864,800,655
10/21,2248,11,7,102567,703,651
10/22,2259,11,7,103379,812,660
10/23,2266,7,7,104328,949,688
10/24,2277,11,8,105069,741,681
10/25,2285,8,8,105665,596,697
10/26,2294,9,8,106212,547,692
10/27,2304,10,8,106963,751,695
10/28,2316,12,9,107843,880,708
10/29,2320,4,9,108954,1111,732
10/30,2331,11,9,109932,978,742
10/31,2345,14,10,110808,876,765
11/1,2353,8,9,111848,1040,805
11/2,2358,5,9,112593,745,824
11/3,2368,10,9,114127,1534,876
11/4,2380,12,9,115251,1124,906
11/5,2392,12,10,117023,1772,975
11/6,2406,14,10,118771,1748,"1,032"
11/7,2411,5,10,120221,1450,"1,082"
11/8,2422,11,10,121467,1246,"1,129"
11/9,2432,10,10,122887,1420,"1,191"
11/10,2446,14,10,124549,1662,"1,256"
11/11,2453,7,10,126574,2025,"1,338"
11/12,2466,13,10,128821,2247,"1,419"
11/13,2477,11,10,131141,2320,"1,515"
11/14,2493,16,11,133391,2250,"1,613"
11/15,2505,12,11,134969,1578,"1,652"
11/16,2520,15,12,137561,2592,"1,783"
11/17,2532,12,12,139120,1559,"1,785"
11/18,2545,13,12,141231,2111,"1,856"
11/19,2557,12,12,143405,2174,"1,884"
11/20,2573,16,12,145281,1876,"1,894"
11/21,2595,22,13,147929,2648,"1,979"
11/22,2612,17,14,151488,3559,"2,144"
11/23,2631,19,14,154770,3282,"2,277"
11/24,2645,14,14,157790,3020,"2,374"
11/25,2662,17,15,160663,2873,"2,435"
11/26,2681,19,15,162730,2067,"2,422"
11/27,2695,14,16,165124,2394,"2,427"
11/28,2714,19,16,167231,2107,"2,417"
11/29,2731,17,16,169500,2269,"2,467"
11/30,2762,31,17,171962,2462,"2,457"
12/1,2783,21,18,175033,3071,"2,565"
12/2,2806,23,19,177358,2325,"2,581"
12/3,2823,17,19,179443,2085,"2,574"
12/4,2849,26,20,181329,1886,"2,575"
12/5,2867,18,19,183081,1752,"2,511"
12/6,2883,16,19,189152,6071,"2,690"
12/7,2905,22,20,192947,3795,"2,727"
12/8,2915,10,19,196032,3085,"2,732"
12/9,2922,7,19,199028,2996,"2,740"
12/10,2933,11,18,202177,3149,"2,818"
12/11,2939,6,17,206288,4111,"2,940"
12/12,2941,2,16,208717,2429,"2,963"
12/13,2941,0,15,210809,2092,"2,951"
12/14,2941,0,13,212584,1775,"2,902"
12/15,2941,0,11,214265,1681,"2,802"
